group_id,event,ambiguousflag,track_id,filename,video,datetime,tagid,mergethreshold,eventid
0,x,x,6110,5second/track_06110_5s.png,5_02_R_190807150000.cfr.mp4,22:31.3,0,5s,0__6110
1,exiting,o,15926,5second/track_15926_5s.png,30_02_R_190808150000.cfr.mp4,45:27.4,10,5s,10__15926
2,entering,o,15368,5second/track_15368_5s.png,6_02_R_190807160000.cfr.mp4,50:43.8,25,5s,25__15368
3,exiting,o,10358,5second/track_10358_5s.png,29_02_R_190808140000.cfr.mp4,37:53.6,33,5s,33__10358
4,exiting,o,8103,5second/track_08103_5s.png,27_02_R_190808120000.cfr.mp4,25:23.0,40,5s,40__8103
5,entering,o,4447,5second/track_04447_5s.png,2_02_R_190807120000.cfr.mp4,15:51.1,83,5s,83__4447
6,exiting,o,15240,5second/track_15240_5s.png,4_02_R_190807140000.cfr.mp4,59:22.9,83,5s,83__15240
7,entering,o,9016,5second/track_09016_5s.png,5_02_R_190807150000.cfr.mp4,31:46.9,83,5s,83__9016
8,exiting,o,18201,5second/track_18201_5s.png,31_02_R_190808160000.cfr.mp4,33:23.5,83,5s,83__18201
9,exiting-entering,o,13174,5second/track_13174_5s.png,5_02_R_190807150000.cfr.mp4,47:49.0,102,5s,102__13174_13194
10,exiting-entering,o,13274,5second/track_13274_5s.png,5_02_R_190807150000.cfr.mp4,48:04.7,102,5s,102__13274_13303
11,exiting-entering,o,13521,5second/track_13521_5s.png,5_02_R_190807150000.cfr.mp4,48:56.0,102,5s,102__13521
12,exiting-entering,o,13735,5second/track_13735_5s.png,5_02_R_190807150000.cfr.mp4,50:18.5,102,5s,102__13735
13,x,x,3790,5second/track_03790_5s.png,6_02_R_190807160000.cfr.mp4,13:24.7,102,5s,102__3790
14,exiting-entering,o,3814,5second/track_03814_5s.png,6_02_R_190807160000.cfr.mp4,13:42.5,102,5s,102__3814
15,exiting-entering,o,3902,5second/track_03902_5s.png,6_02_R_190807160000.cfr.mp4,14:11.3,102,5s,102__3902
16,x,x,4012,5second/track_04012_5s.png,6_02_R_190807160000.cfr.mp4,14:30.7,102,5s,102__4012
17,exiting,o,4093,5second/track_04093_5s.png,6_02_R_190807160000.cfr.mp4,14:50.0,102,5s,102__4093
18,entering,o,4304,5second/track_04304_5s.png,6_02_R_190807160000.cfr.mp4,15:25.0,102,5s,102__4304
19,x,x,4439,5second/track_04439_5s.png,6_02_R_190807160000.cfr.mp4,15:42.4,102,5s,102__4439
20,x,x,4508,5second/track_04508_5s.png,6_02_R_190807160000.cfr.mp4,16:09.7,102,5s,102__4508_4573
21,complex,o,6213,5second/track_06213_5s.png,6_02_R_190807160000.cfr.mp4,23:06.1,102,5s,102__6213_6348
22,complex,o,6407,5second/track_06407_5s.png,6_02_R_190807160000.cfr.mp4,23:29.0,102,5s,102__6407_6424
23,exiting,o,14602,5second/track_14602_5s.png,28_02_R_190808130000.cfr.mp4,53:30.9,102,5s,102__14602
24,entering,o,14936,5second/track_14936_5s.png,28_02_R_190808130000.cfr.mp4,53:43.5,102,5s,102__14936
25,exiting,o,14986,5second/track_14986_5s.png,28_02_R_190808130000.cfr.mp4,54:20.8,102,5s,102__14986
26,exiting-entering,o,4994,5second/track_04994_5s.png,31_02_R_190808160000.cfr.mp4,12:07.0,102,5s,102__4994
27,x,x,5403,5second/track_05403_5s.png,31_02_R_190808160000.cfr.mp4,12:48.1,102,5s,102__5403
28,exiting,o,4718,5second/track_04718_5s.png,27_02_R_190808120000.cfr.mp4,16:07.8,116,5s,116__4718
29,exiting,o,9556,5second/track_09556_5s.png,29_02_R_190808140000.cfr.mp4,34:55.9,116,5s,116__9556
30,exiting,o,9147,5second/track_09147_5s.png,30_02_R_190808150000.cfr.mp4,27:21.8,116,5s,116__9147
31,exiting,o,15371,5second/track_15371_5s.png,31_02_R_190808160000.cfr.mp4,27:43.1,121,5s,121__15371
32,exiting-entering,o,6024,5second/track_06024_5s.png,2_02_R_190807120000.cfr.mp4,21:45.6,144,5s,144__6024
33,x,x,6177,5second/track_06177_5s.png,2_02_R_190807120000.cfr.mp4,22:16.8,144,5s,144__6177
34,x,x,16335,5second/track_16335_5s.png,27_02_R_190808120000.cfr.mp4,52:10.5,144,5s,144__16335_16358
35,x,x,16437,5second/track_16437_5s.png,27_02_R_190808120000.cfr.mp4,52:33.0,144,5s,144__16437_16455_16466
36,exiting-entering,o,17218,5second/track_17218_5s.png,27_02_R_190808120000.cfr.mp4,55:43.8,144,5s,144__17218
37,exiting-entering,o,17605,5second/track_17605_5s.png,27_02_R_190808120000.cfr.mp4,57:47.6,144,5s,144__17605_17615_17684
38,exiting-entering,o,17741,5second/track_17741_5s.png,27_02_R_190808120000.cfr.mp4,58:08.1,144,5s,144__17741
39,exiting,o,2770,5second/track_02770_5s.png,28_02_R_190808130000.cfr.mp4,11:15.0,144,5s,144__2770
40,entering,o,2874,5second/track_02874_5s.png,28_02_R_190808130000.cfr.mp4,11:32.5,144,5s,144__2874
41,exiting,o,2524,5second/track_02524_5s.png,31_02_R_190808160000.cfr.mp4,06:46.6,144,5s,144__2524
42,x,x,9128,5second/track_09128_5s.png,29_02_R_190808140000.cfr.mp4,33:40.8,168,5s,168__9128
43,exiting,o,3789,5second/track_03789_5s.png,27_02_R_190808120000.cfr.mp4,13:07.6,176,5s,176__3789
44,entering-exiting,o,3904,5second/track_03904_5s.png,27_02_R_190808120000.cfr.mp4,13:30.2,176,5s,176__3904_3939
45,exiting,o,6758,5second/track_06758_5s.png,5_02_R_190807150000.cfr.mp4,23:54.0,186,5s,186__6758
46,exiting,o,1740,5second/track_01740_5s.png,3_02_R_190807130000.cfr.mp4,08:22.5,187,5s,187__1740
47,x,x,2475,5second/track_02475_5s.png,3_02_R_190807130000.cfr.mp4,11:35.2,187,5s,187__2475
48,x,x,2536,5second/track_02536_5s.png,3_02_R_190807130000.cfr.mp4,11:53.5,187,5s,187__2536_2541
49,exiting-entering,o,5194,5second/track_05194_5s.png,3_02_R_190807130000.cfr.mp4,32:07.3,187,5s,187__5194
50,x,x,5613,5second/track_05613_5s.png,3_02_R_190807130000.cfr.mp4,34:24.1,187,5s,187__5613
51,exiting,o,5731,5second/track_05731_5s.png,3_02_R_190807130000.cfr.mp4,34:50.3,187,5s,187__5731
52,x,x,6750,5second/track_06750_5s.png,3_02_R_190807130000.cfr.mp4,49:52.0,187,5s,187__6750_9210_9226_9245
